legacy_path	status	matched_source	destination	confidence	notes
/	no_redirect_needed	same_path_on_new_site	/	high	Current Next.js route exists at same path
/ www.duitse-doggen-deense-deutsche-duitse-dog-dogues-allemands.be/paginas/pict_jewels.html	covered	/:path*\.html	/	low	Pre-WP static HTML archive (Photos/, Events/, MissingPets/) — surface for decision
/+nhp+	orphan				
/.well-known/nodeinfo	orphan				
/.well-known/openid-configuration	orphan				
/10-things-might-not-know-great-danes	orphan				
/10001-2	orphan				
/2001Donations.html	covered	/:path*\.html	/	low	Pre-WP static HTML archive (Photos/, Events/, MissingPets/) — surface for decision
/2001Donationsx.html	covered	/:path*\.html	/	low	Pre-WP static HTML archive (Photos/, Events/, MissingPets/) — surface for decision
/2009ComedyNight.html	covered	/:path*\.html	/	low	Pre-WP static HTML archive (Photos/, Events/, MissingPets/) — surface for decision
/2010CalendarWinners.html	covered	/:path*\.html	/	low	Pre-WP static HTML archive (Photos/, Events/, MissingPets/) — surface for decision
/2010ComedyNight.html	covered	/:path*\.html	/	low	Pre-WP static HTML archive (Photos/, Events/, MissingPets/) — surface for decision
/2014-2016-adoptions	covered	/2014-2016-adoptions	/adoption-successes	medium	Legacy year archive
/2014-successful-dog-adoptions	covered	/2014-successful-dog-adoptions	/adoption-successes/2014	high	Legacy year archive
/2014-successful-dog-adoptions/feed	covered	/:path*/feed	/the-dog-blog	low	RSS feeds (any subpath)
/2014/12	covered	/:year(\d{4})/:month(\d{2})	/the-dog-blog	medium	WP date archive → blog
/2015-adoptions	covered	/2015-adoptions	/adoption-successes/2015	high	Legacy year archive
/2015-adoptions/feed	covered	/:path*/feed	/the-dog-blog	low	RSS feeds (any subpath)
/2015-great-dane-calendar	covered	/2015-great-dane-calendar	/donate-to-rmgdri	low	Calendar/fundraising legacy → donate (low confidence)
/2015/01	covered	/:year(\d{4})/:month(\d{2})	/the-dog-blog	medium	WP date archive → blog
/2015/01/page/2	covered	/:year(\d{4})/:month(\d{2})/page/:n	/the-dog-blog	medium	Date archive pagination
/2015/02	covered	/:year(\d{4})/:month(\d{2})	/the-dog-blog	medium	WP date archive → blog
/2015/03	covered	/:year(\d{4})/:month(\d{2})	/the-dog-blog	medium	WP date archive → blog
/2015/03/page/2	covered	/:year(\d{4})/:month(\d{2})/page/:n	/the-dog-blog	medium	Date archive pagination
