legacy_path	source	wayback_hits	pattern_class	year_extracted	proposed_action	proposed_destination	match_status	confidence	notes
/	wayback	86	same_path_on_new_site		no_op		matched_to_section	high	Current Next.js route exists at same path — no redirect needed
/ www.duitse-doggen-deense-deutsche-duitse-dog-dogues-allemands.be/paginas/pict_jewels.html	wayback	1	legacy_html_file		410		n_a	high	Pre-WP static HTML; content not migrated
/+nhp+	wayback	1	uncategorized		410		n_a	low	Could not classify — default to 410
/.well-known/nodeinfo	wayback	1	well_known		skip		n_a	high	Framework-handled; do not redirect
/.well-known/openid-configuration	wayback	1	well_known		skip		n_a	high	Framework-handled; do not redirect
/10-things-might-not-know-great-danes	wayback	1	uncategorized		410		n_a	low	Could not classify — default to 410
/10001-2	wayback	1	wp_dup_post_id		410		n_a	high	WP duplicate post id artifact
/2001Donations.html	wayback	1	legacy_html_file	2001	410		n_a	high	Pre-WP static HTML; content not migrated
/2001Donationsx.html	wayback	1	legacy_html_file	2001	410		n_a	high	Pre-WP static HTML; content not migrated
/2009ComedyNight.html	wayback	1	legacy_html_file	2009	410		n_a	high	Pre-WP static HTML; content not migrated
/2010CalendarWinners.html	wayback	1	legacy_html_file	2010	410		n_a	high	Pre-WP static HTML; content not migrated
/2010ComedyNight.html	wayback	1	legacy_html_file	2010	410		n_a	high	Pre-WP static HTML; content not migrated
/2014-2016-adoptions	wayback	1	year_archive_alias	2014	410		n_a	high	Pre-2022 year archive alias — not migrated
/2014-successful-dog-adoptions	wayback	1	year_archive_alias	2014	410		n_a	high	Pre-2022 year archive alias — not migrated
/2014-successful-dog-adoptions/feed	wayback	1	wp_feed	2014	410		n_a	high	RSS feed — discontinued
/2014/12	wayback	1	date_archive	2014	410		n_a	high	Pre-2022 date archive — not migrated
/2015-adoptions	wayback	1	year_archive_alias	2015	410		n_a	high	Pre-2022 year archive alias — not migrated
/2015-adoptions/feed	wayback	1	wp_feed	2015	410		n_a	high	RSS feed — discontinued
/2015-great-dane-calendar	wayback	1	legacy_calendar	2015	410		n_a	high	Legacy calendar/fundraising page — not migrated
/2015/01	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/01/page/2	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/02	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/03	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/03/page/2	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/04	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/05	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/05/page/2	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/06	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/08	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/09	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/10	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/11	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/12	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2015/12/page/2	wayback	1	date_archive	2015	410		n_a	high	Pre-2022 date archive — not migrated
/2016-adoptions	wayback	1	year_archive_alias	2016	410		n_a	high	Pre-2022 year archive alias — not migrated
/2016-great-dane-calendar	wayback	1	legacy_calendar	2016	410		n_a	high	Legacy calendar/fundraising page — not migrated
