# SUPERSEDED 2026-05-05 — Lori clarification voided plain-slug → success-story base-name mapping. See final-cc-addendum.md and plain-slug-reclassification.tsv.
legacy_path	proposed_destination	matched_year	slug_form	confidence	rationale
/ada	/adoption-successes/2024/ada-2024	2024	ada-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "ada" matches migrated story
/antero	/adoption-successes/2023/antero-2023	2023	antero-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "antero" matches migrated story
/apollo	/adoption-successes/2024/apollo-2024	2024	apollo-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "apollo" matches migrated story
/apollo-merle	/adoption-successes/2024/apollo-merle-2024	2024	apollo-merle-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "apollo-merle" matches migrated story
/arlo	/adoption-successes/2025/arlo-2025	2025	arlo-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "arlo" matches migrated story
/asher	/adoption-successes/2024/asher-2024	2024	asher-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "asher" matches migrated story
/athena	/adoption-successes/2024/athena-2024	2024	athena-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "athena" matches migrated story
/atlas	/adoption-successes/2022/atlas-2022	2022	atlas-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "atlas" matches migrated story
/babe	/adoption-successes/2023/babe-2023	2023	babe-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "babe" matches migrated story
/bailey	/adoption-successes/2025/bailey-2025	2025	bailey-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bailey" matches migrated story
/bee	/adoption-successes/2025/bee-2025	2025	bee-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bee" matches migrated story
/bela	/adoption-successes/2024/bela-2024	2024	bela-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bela" matches migrated story
/bella	/adoption-successes/2025/bella-2025	2025	bella-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bella" matches migrated story
/belle	/adoption-successes/2024/belle-2024	2024	belle-2024	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "belle" matches migrated story
/bentley	/adoption-successes/2025/bentley-2025	2025	bentley-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bentley" matches migrated story
/bently	/adoption-successes/2023/bently-2023	2023	bently-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bently" matches migrated story
/blue	/adoption-successes/2025/blue-2025	2025	blue-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "blue" matches migrated story
/bolt	/adoption-successes/2025/bolt-2025	2025	bolt-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bolt" matches migrated story
/brady	/adoption-successes/2023/brady-2023	2023	brady-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "brady" matches migrated story
/brandi	/adoption-successes/2022/brandi-2022	2022	brandi-2022	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "brandi" matches migrated story
/bruno	/adoption-successes/2025/bruno-2025	2025	bruno-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bruno" matches migrated story
/bruno-fawn	/adoption-successes/2025/bruno-fawn-2025	2025	bruno-fawn-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bruno-fawn" matches migrated story
/buck	/adoption-successes/2023/buck-2023	2023	buck-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "buck" matches migrated story
/bunker	/adoption-successes/2025/bunker-2025	2025	bunker-2025	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "bunker" matches migrated story
/cambria	/adoption-successes/2023/cambria-2023	2023	cambria-2023	high	Base-name lookup against Sanity adoption-successes JSON; legacy WP slug "cambria" matches migrated story
